feature,importance
road_class_missing,0.20632563879502266
hpms_functional_class,0.10957557291975362
road_class_7,0.07100171234528087
road_class_4,0.06856397342898246
hpms_aadt,0.06483854201581789
lane_category_standard,0.0526862959278215
aadt,0.04375515164508237
distance_to_aadt_m,0.043488619583782216
road_class_3,0.03230902675897669
Distance(mi),0.03054504070772113
hpms_lanes,0.02824792855972761
hpms_distance_m,0.023580299336099144
county_top20_Travis,0.017004659441474532
lat_zone_south_central,0.01643398728112023
county_top20_Tarrant,0.01620761712448062
hpms_speed_limit,0.012843544973635343
lane_category_wide,0.010349980271509688
speed_category_missing,0.009563729794455397
is_major_city,0.008890939657454293
speed_category_low,0.008626514062699158
lane_category_narrow,0.008253659801811966
road_class_5,0.008222644267275474
county_top20_Harris,0.007990715110952687
county_top20_Dallas,0.007951026737367846
region_south_central_central,0.00701565628083031
hour,0.0066563097300171405
day_of_week,0.005837448105229209
is_weekend,0.005359376786496198
city_size_category_medium,0.005066619823506794
road_class_2,0.004259003878313034
region_south_central_east,0.00418149287358337
Humidity(%),0.0033565841762467547
lng_zone_east,0.0031416466826132603
Temperature(F),0.0030547985708423
Pressure(in),0.0030248912152826576
county_top20_El Paso,0.0027319012288061
county_top20_Collin,0.0025974157372348123
region_central_west,0.002487101742370109
county_top20_Denton,0.002406850574931617
speed_category_medium,0.002343548453776999
city_size_category_small,0.0022709247809316853
Wind_Speed(mph),0.002117756525695855
month,0.002013693267117503
temp_category_missing,0.0018347971724253034
county_top20_other,0.0017777289854628018
Visibility(mi),0.0017646142170994685
county_top20_Williamson,0.0017595103857897664
lng_zone_west,0.0017259359218635098
county_top20_Montgomery,0.001528223392798999
weather_category_cloudy,0.0013539903837933318
region_north_central,0.001197641552491999
is_rush_hour,0.0011278795138618576
lat_zone_north,0.0010120338586211955
speed_category_highway,0.0008848309098234228
county_top20_Wichita,0.0008820198495138301
county_top20_Brazoria,0.0006544055359952429
county_top20_Rockwall,0.0004825707839386559
county_top20_Galveston,0.000476526667402405
weather_category_rain,0.00043483967099911653
adverse_weather,0.00038638462519470143
county_top20_Hays,0.0003527495990030408
county_top20_Ellis,0.0003132618641088929
temp_category_warm,0.00031204714688686197
temp_category_mild,0.00029447178296846267
temp_category_hot,0.0002624642444324286
lng_zone_west_central,0.00022109996004401883
county_top20_Comal,0.00019370625629475786
low_visibility,0.00018137389966272228
road_class_6,0.00018064960688874115
county_top20_Fort Bend,0.00017794048108135378
temp_category_freezing,0.00017101564984755606
road_class_unknown,0.00014293614785773837
county_top20_Kaufman,0.0001287968401381423
weather_category_fog,9.480642399826379e-05
region_central_east,9.148769313716346e-05
region_central_west_central,8.315870948534537e-05
lat_zone_south,7.460663585657861e-05
region_south_central,7.129064953355435e-05
weather_category_snow,4.3632256718865036e-05
region_south_central_west_central,3.449171518913273e-05
region_north_west_central,2.6765065432451448e-05
county_top20_Smith,2.5903508676368225e-05
region_south_west_central,2.536693125769596e-05
region_north_east,1.8364896370058486e-05
region_south_east,9.715209657362708e-06
region_north_west,3.232600914586274e-06
region_south_central_west,8.898153512217965e-07
is_junction,0.0
